SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
GLOBAL_1381432579588|146.404|-34.549|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[aus,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381432579588/|0.0
GLOBAL_1381433107046|146.404|-34.549|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[aus,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381433107046/|0.0
GLOBAL_1381479650885|77.498|10.066|ccafs|[current,csiro_mk3_5]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|4:10|none|[1960_1990,2020_2049]|[global,global]|[2_5min,2_5min]|[baseline,a1b]|/var/www/analogues/outputs/GLOBAL_1381479650885/|0.6
GLOBAL_1381506210119|-74.035|4.611|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[col,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381506210119/|0.0
GLOBAL_1381507139550|-79.525|8.986|ccafs|[ncar_pcm1,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381507139550/|0.0
GLOBAL_1381507577541|-79.525|8.986|ccafs|[mri_cgcm2_3_2a,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381507577541/|0.0
GLOBAL_1381507697802|-79.525|8.986|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381507697802/|0.0
GLOBAL_1381508042587|-79.525|8.986|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381508042587/|0.0
GTM_1381508344603|-90.497|14.615|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[gtm,gtm]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GTM_1381508344603/|0.0
GLOBAL_1381510984162|-79.525|8.986|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,global]|[30s,10min]|[b1,baseline]|/var/www/analogues/outputs/GLOBAL_1381510984162/|0.0
GLOBAL_1381511152717|-79.525|8.986|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,global]|[30s,10min]|[a2,baseline]|/var/www/analogues/outputs/GLOBAL_1381511152717/|0.0
PAN_1381512120930|-79.525|8.986|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,pan]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/PAN_1381512120930/|0.0
