ISO,COUNTRY,XMIN,XMAX,YMIN,YMAX,DX,DY,NCOLS,NROWS,NTILES,NCOLS_TILES,NROWS_TILES
pan,Panama,-83.05144456,-77.17644426,7.197906286,9.647906414,0.008333334,0.008333334,705,294,1,1,1
png,Papua New Guinea,140.8397525,155.95642,-11.68477274,-0.759772172,0.008333334,0.008333334,1814,1311,9,3,3
pry,Paraguay,-62.64651864,-54.25485153,-27.6058618,-19.28919469,0.008333334,0.008333334,1007,998,4,2,2
per,Peru,-81.32814766,-68.653147,-18.35046564,-0.033798015,0.008333334,0.008333334,1521,2198,16,4,4
phl,Philippines,111.9177017,126.6093691,4.58694034,21.07027453,0.008333334,0.008333334,1763,1978,9,3,3
pol,Poland,14.12161555,24.15494941,49.00613036,54.839464,0.008333334,0.008333334,1204,700,4,2,2
prt,Portugal,-12.55187988,-2.66418457,36.25251465,42.54431152,0.008333334,0.008333334,3009,1169,16,4,4
pri,Puerto Rico,-67.95243054,-65.21909706,17.88263931,18.51597268,0.008333334,0.008333334,328,76,1,1,1
qat,Qatar,50.7318035,51.64847021,24.52097131,26.18763807,0.008333334,0.008333334,110,200,1,1,1
mda,Republic of Moldova,26.62131351,30.16298036,45.4601064,48.49343989,0.008333334,0.008333334,425,364,1,1,1
cog,Republic of the Congo,11.20500959,18.64667664,-5.028312622,3.705021167,0.008333334,0.008333334,893,1048,4,2,2
reu,Reunion,55.21625151,55.84125154,-21.38985978,-20.87319309,0.008333334,0.008333334,75,62,1,1,1
rom,Romania,20.26075545,29.69408928,43.63532641,48.26865999,0.008333334,0.008333334,1132,556,4,2,2
rus,Russia,57.08496094,136.1865234,45.99121094,76.72558594,0.008333334,0.008333334,43200,4880,169,13,13
rwa,Rwanda,28.85679454,30.89846132,-2.840679624,-1.057346197,0.008333334,0.008333334,245,214,1,1,1
lca,Saint Lucia,-61.08013949,-60.87180614,13.70708328,14.1070833,0.008333334,0.008333334,25,48,1,1,1
wsm,Samoa,-172.8041227,-171.3957892,-14.07722169,-13.44388833,0.008333334,0.008333334,169,76,1,1,1
smr,San Marino,12.40066658,12.51733325,43.89465329,43.99465329,0.008333334,0.008333334,14,12,1,1,1
stp,Sao Tome and Principe,6.459861571,7.459861623,-0.014027611,1.702639145,0.008333334,0.008333334,120,206,1,1,1
sau,Saudi Arabia,34.49568553,55.67068663,15.61425434,32.22258854,0.008333334,0.008333334,2541,1993,16,4,4
sen,Senegal,-17.53524046,-11.35190681,12.30727024,16.6906038,0.008333334,0.008333334,742,526,4,2,2
syc,Seychelles,30.79410955,32.13577628,-27.31710069,-25.7171006,0.008333334,0.008333334,161,192,1,1,1
sle,Sierra Leone,-13.30762952,-10.28262936,6.92868938,10.00368954,0.008333334,0.008333334,363,369,1,1,1
svk,Slovakia,16.83417547,22.5675091,47.73274542,49.60774552,0.008333334,0.008333334,688,225,1,1,1
svn,Slovenia,13.3749385,16.583272,45.42820331,46.87820338,0.008333334,0.008333334,385,174,1,1,1
slb,Solomon Islands,155.4994507,167.2744513,-11.88249967,-4.449165946,0.008333334,0.008333334,1413,892,4,2,2
som,Somalia,40.9886326,51.41363315,-1.662052744,11.98794797,0.008333334,0.008333334,1251,1638,9,3,3
zaf,South Africa,16.45801957,38.00802069,-46.98249773,-22.1241631,0.008333334,0.008333334,2586,2983,25,5,5
kor,South Korea,125.0865707,129.5865709,33.10610931,38.61444293,0.008333334,0.008333334,540,661,4,2,2
esp,Spain,-18.15741349,4.317587686,27.63698537,43.78698621,0.008333334,0.008333334,2697,1938,16,4,4
lka,Sri Lanka,79.52124057,81.87957403,5.919086377,9.835753248,0.008333334,0.008333334,283,470,1,1,1
vct,St. Vincent & the Grenadines,-61.46097153,-61.11097152,12.57874936,13.38708273,0.008333334,0.008333334,42,97,1,1,1
sdn,Sudan,21.83894959,38.58061713,3.486390285,23.14472464,0.008333334,0.008333334,2009,2359,16,4,4
sur,Suriname,-58.08656352,-53.97822997,1.831145341,6.006145558,0.008333334,0.008333334,493,501,1,1,1
sjm,Svalbard and Jan Mayen Is.,-9.120058542,33.63827702,70.80386338,80.76219723,0.008333334,0.008333334,5131,1195,25,5,5
swz,Swaziland,30.79410955,32.13577628,-27.31710069,-25.7171006,0.008333334,0.008333334,161,192,1,1,1
swe,Sweden,10.98673357,24.16173425,55.33712428,69.062125,0.008333334,0.008333334,1581,1647,9,3,3
che,Switzerland,5.957431587,10.49076516,45.82165933,47.8133261,0.008333334,0.008333334,544,239,1,1,1
syr,Syria,35.72723351,42.38556719,32.31068037,37.31901396,0.008333334,0.008333334,799,601,4,2,2
twn,Taiwan,119.3078686,121.9995354,21.90180037,25.30180055,0.008333334,0.008333334,323,408,1,1,1
tjk,Tajikistan,67.38713062,75.13713103,36.67413736,41.04080425,0.008333334,0.008333334,930,524,4,2,2
tza,Tanzania,29.3271676,40.44383484,-11.74569572,-0.987361822,0.008333334,0.008333334,1334,1291,9,3,3
tha,Thailand,97.34519153,105.6368586,5.61604037,20.46604114,0.008333334,0.008333334,995,1782,9,3,3
bhs,The Bahamas,-79.3151395,-72.71513915,20.91208235,27.27041601,0.008333334,0.008333334,792,763,4,2,2
gmb,The Gambia,-16.82508052,-13.80008036,13.06425027,13.82258364,0.008333334,0.008333334,363,91,1,1,1
mdv,The Maldives,43.17737946,50.48571317,-25.60446373,-11.95446302,0.008333334,0.008333334,877,1638,9,3,3
tgo,Togo,-0.147323519,1.802676582,6.104417272,11.13775087,0.008333334,0.008333334,234,604,1,1,1
ton,Tonga,-176.2138366,-173.7388365,-22.25,-20.213,0.008333334,0.008333334,297,781,1,1,1
tun,Tunisia,7.52482655,11.59982676,30.24043033,37.55709738,0.008333334,0.008333334,489,878,4,2,2
tur,Turkey,24.99999958,44.83333395,35.81542642,42.10709341,0.008333334,0.008333334,2380,755,9,3,3
tkm,Turkmenistan,52.44143263,66.68310004,35.14109428,42.79942801,0.008333334,0.008333334,1709,919,9,3,3
tca,Turks and Caicos Islands,35.72723351,42.38556719,32.31068037,37.31901396,0.008333334,0.008333334,799,601,4,2,2
uga,Uganda,29.56700554,35.01700582,-1.478195665,4.205137965,0.008333334,0.008333334,654,682,4,2,2
ukr,Ukraine,22.1404475,40.21544845,44.38210626,52.37377334,0.008333334,0.008333334,2169,959,9,3,3
are,United Arab Emirates,51.11311362,56.37144722,22.49706434,26.08039786,0.008333334,0.008333334,631,430,1,1,1
gbr,United Kingdom,-8.621389576,1.770277632,49.89083136,60.84083193,0.008333334,0.008333334,1247,1314,9,3,3
usa,United States,-122.4316406,-82.88085938,26.63085938,52.99804688,0.008333334,0.008333334,43071,6299,169,13,13
ury,Uruguay,-58.44272249,-53.18438889,-34.9808157,-30.08081545,0.008333334,0.008333334,631,588,4,2,2
uzb,Uzbekistan,55.99748955,73.17249045,37.1838764,45.56721017,0.008333334,0.008333334,2061,1006,9,3,3
vut,Vanuatu,166.5413967,172.091397,-22.40055464,-13.07555415,0.008333334,0.008333334,666,1119,4,2,2
ven,Venezuela,-73.38697853,-59.78697782,0.648764307,12.35709825,0.008333334,0.008333334,1632,1405,9,3,3
vnm,Vietnam,105.1449966,110.469997,13.56333031,16.39666441,0.008333334,0.008333334,879,1780,9,3,3
esh,Western Sahara,-17.10317957,-8.669845792,20.77416032,27.68249401,0.008333334,0.008333334,1012,829,4,2,2
yem,Yemen,41.81458253,54.53124986,12.11109124,19.00275826,0.008333334,0.008333334,1526,827,4,2,2
zmb,Zambia,21.99937049,33.70770444,-18.07947375,-8.221139898,0.008333334,0.008333334,1405,1183,9,3,3
zwe,Zimbabwe,25.2370286,33.05369567,-22.41773771,-15.60940402,0.008333334,0.008333334,938,817,4,2,2
