SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
GHA_1371819379461|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371819379461/|0.9
GHA_1371820819506|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371820819506/|0.9
GHA_1371820906330|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371820906330/|0.9
GHA_1371821065545|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371821065545/|0.1
GHA_1371821147931|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371821147931/|0.2
GHA_1371821259227|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371821259227/|0.3
GHA_1371821470010|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371821470010/|0.4
GHA_1371821526802|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371821526802/|0.5
GHA_1371821593679|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371821593679/|0.6
GHA_1371823413946|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371823413946/|0.7
GHA_1371823496415|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371823496415/|0.8
GHA_1371823558557|-0.849144958937|9.41581576903|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371823558557/|0.9
GHA_1371823931902|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371823931902/|0.1
GHA_1371823997854|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371823997854/|0.2
GHA_1371824055997|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371824055997/|0.3
GHA_1371824118052|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371824118052/|0.4
GHA_1371824180127|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371824180127/|0.5
