SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
UGA_1375375839274|32.688|1.047|ccafs|[ncar_ccsm3_0,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[uga,uga]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/UGA_1375375839274/|0.0
COL_1375376144436|-72.519|4.879|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[col,col]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/COL_1375376144436/|0.2
GBR_1375376299018|-2.766|55.175|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[gbr,gbr]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GBR_1375376299018/|0.8
COL_1375376353358|-72.519|4.879|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[col,col]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/COL_1375376353358/|0.8
GBR_1375376413271|-2.766|55.175|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[gbr,gbr]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GBR_1375376413271/|0.2
COL_1375376660022|-72.519|4.879|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[col,col]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/COL_1375376660022/|0.5
UGA_1375393435414|32.1|1.281|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1375393435414/|0.0
IND_1375422465621|78.404|17.377|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ind,ind]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/IND_1375422465621/|0.0
IND_1375431435825|77.525|15.565|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|6:12|none|[1960_1990,2020_2049]|[ind,ind]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/IND_1375431435825/|0.0
UGA_1375452694503|32.292|1.222|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1375452694503/|0.0
COL_1375453702437|-76.452|3.23|ccafs|[current,current]|[tmean,prec]|[0.6,0.4]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1375453702437/|0.0
AUS_1375454780114|115.869782733|-31.936685413|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[aus,aus]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/AUS_1375454780114/|0.3
AUS_1375664259489|144.58|-37.438|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[aus,aus]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/AUS_1375664259489/|0.0
JPN_1375687146664|141.362|43.036|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[jpn,jpn]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/JPN_1375687146664/|0.0
COL_1375711133770|-75.582195023|6.20569102522|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|tmean|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1375711133770/|0.0
GLOBAL_1375758855388|-2.813|23.241|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[global,global]|[2_5min,2_5min]|[baseline,a1b]|/var/www/analogues/outputs/GLOBAL_1375758855388/|0.0
COL_1375801509796|-76.479|3.447|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:2|tmean|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1375801509796/|0.08
SEN_1375802412798|-16.106|14.137|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[sen,sen]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/SEN_1375802412798/|0.08
UGA_1375806020663|32.193|1.211|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1375806020663/|0.0
